id,Scientific Name,Common Name,Flower Color,Flower Conspicuous,Foliage Color,Shape and Orientation,Hedge Tolerance,Anaerobic Tolerance,CaCO3 Tolerance,Drought Tolerance,Shade Tolerance,Lifespan,"Frost Free Days, Minimum",Bloom Period,"Height at Base Age, Maximum (feet)","Height, Mature (feet)","Root Depth, Minimum (inches)","Temperature, Minimum (°F)",Moisture Use / Watering,Precipitation (Minimum),Precipitation (Maximum),Known Allelopath,Nitrogen Fixation,Resprout Ability,Toxicity,Salinity Tolerance,Commercial Availability,Protein Potential
133,Chilopsis linearis,Desert Willow,"White,
pink or
burgundy",Yes,Green,Erect,,,,High,Tolerant,Long,,Spring to Fall,15,20,,,Low,,,,,,,,Yes,
134,Rosa 'Knock Out',Knock Out Rose,"Red, White, Pink",Yes,Green,Erect,,,,,,,,,4,5,,,Medium,,,,,,,,,
135,Euphorbias,Euphorbiaceae ,,Yes,White,Erect,,,,,Intermediate,Long,,Spring-Summer,,,,,Low,,,,,,,,,
136,Zamioculcas zamiifolia,zz Plant,None,No,Green,Erect,None,,,,Tolerant,Long,,,4,5,,30,Low,,,,,,,,Yes,
137,Pachira aquatica,Money Tree,,,Green,Erect,None,,,,Tolerant,Long,,,,12,,40,Low,,,,,Yes,,,Yes,
138,Howea forsteriana,Kentia Palm,,,,Erect,Low,,,,Tolerant,Long,,,,,,50,Low,,,,,,,,Yes,
139,Dracaena fragans,Cornstalk Dracaena,"White, Pink",Yes,"Green, Yellow",Erect,Low,,,,Tolerant,Long,,Summer,,10,,65,Medium,,,,,,Low,,Yes,
140,Ficus elastica,Rubber Fig,None,No,"Purple, Pink, Green",Erect,,,,,Tolerant,Long,,Spring-Fall,,100,,40,Low,,,,,,,,Yes,
141,Chameadorea elegans,Parlor Palm,None,No,Green,Erect,High,,,,Intermediate,Long,,Summer-Fall,,6,,40,Low,,,,,,,,Yes,
142,Sansevieria trifasciata,Snake Plant,None,No,"Green, Yellow",Erect,,,,,Tolerant,Long,,Spring-Winter,,5,,59,Low,,,,,,,,Yes,
143,Ficus benjamina,Weeping Fig,None,No,Green,Erect,High,,,,Tolerant,Long,,Spring-Summer,,100,,40,Low,,,,,,,,Yes,
144,Nephrolepis exaltata,Sword Fern,None,No,Green,Rounded,,,,High,Tolerant,Long,,Spring-Summer,2,5,,64,Low,,,,,,,,Yes,
145,Dypsis lutescens,Areca Palm,None,No,Green,Erect,High,,,,Tolerant,Long,,Spring-Fall,,,,50,Low,,,,,,,,Yes,
146,Monstera deliciosa,Split-leaf Philodendron,None,No,Green,Erect,,,,,Tolerant,Long,,,,,,59,,,,,,,,,Yes,
147,Senecio rowleyanus,string of pearls,White,No,Blue-Green,Procumbent,,,,High,Tolerant,Long,,Summer,,3,,30,Low,,,,,,,,,
148,Yucca recurvifolia,Curve-leaf Yucca,White,No,Blue-Green,Decombent,,,,High,Tolerant,Long,,Late Summer,,8,,0,Low,,,,,,,,,
149,Sedum burrito,Burro's Tail,Pink,No,Blue-green,Procumbent,,,,High,Tolerant,Long,,Late Spring,,3,,30,Low,,,,,,,,,
150,Sempervivum,Hens and Chicks,Pink,Yes,Blue-green,Rosette,,,,High,Tolerant,Long,,Early Summer,,0.5,,-20,Low,,,,,,,,,
151,Dracaena marginata,Madagascar Dragon Tree,Purplish Red,Yes,Green,Erect,Low,,,,Intolerant,Long,,Summer,,,,40,Low,,,,,,,,,
152,Phalaenopsis Grandiflora,Moth Orchid,White,No,Green,Erect,Medium,,,,Tolerant,Long,,,,,,59,Low,,,,,,,,,
153,Ficus elastica,Rubber Fig,,,"Green, Purple",Erect,High,,,,Tolerant,Long,,Late Summer,,,,59,High,,,,,,,,,
154,Gardenia jasminoides,Common gardenia,White,No,Green,,Medium,,,,Tolerant,Long,,Spring,,,,59,Medium,,,,,,,,,
155,Helianthus annuus,Common sunflower,Yellow,No,Green,Erect,Medium,,,,Tolerant,Long,,Summer,,,,59,Medium,,,,,,,,,
156,Spathiphyllum,Peace Lilly,White,No,Green,Erect,High,,,,Tolerant,Long,,Spring,,,,59,Medium,,,,,,,,,
157,Chamaedorea elegans,Parlor Palm,,,Green,Erect,Low,,,,Intolerant,Long,,spring,,,,50,Medium,,,,,,,,,
158,Sansevieria trifasciata,Snake plant,,,"Green, Yellow",Erect,Medium,,,,Tolerant,Long,,,,,,,,,,,,,,,,
159,Trachelospermum jasminoides,Star Jasmine,"White, Yellow",No,Green,Spreading,Medium,,,,Tolerant,Long,,Spring,,,,45,Medium,,,,,,,,,
160,Anthurium andraeanum,Flamingo Flower,"Red, Pink",No,Green,Erect,Medium,,,,Tolerant,Long,,spring,,,,10,Medium,,,,,,,,,
161,Billbergia nutans,Queen's tears,"Red, Pink",No,Green,Erect,Medium,,,,Tolerant,Long,,spring,,,,40,Medium,,,,,,,,,
162,Neoregelia carolinae,Blushing bromeliad,"Purple, Red",Yes,"Green, Yellow, Pink",Rounded,Low,,,,Tolerant,Long,,Late Spring,,,,64,Medium,,,,,,,,,
163,Hibiscus rosa-sinensis,Hibiscus,"Red, Dark Red",No,Green,Spreading,Medium,,,,Intolerant,Long,,spring,,,,59,Medium,,,,,,,,,
164,Begonia coccinea,Angel wing begonia,"Red, Pink",No,Green,Erect,Medium,,,,Tolerant,Long,,Summer,,,,55,Medium,,,,,,,,,
165,Feijoa sellowiana,Pineapple Guava,"White, Red, Pink",No,Green,Erect,Low,,,,Intolerant,Long,,Summer,,,,45,Medium,,,,,,,,,
166,Mimosa pudica,Shameplant,Pink,Yes,Green,Rounded,Low,,,,Intolerant,Long,,Summer,,,,60,Medium,,,,,,,,,
167,Guzmania,Bromeliad,"Red, Purple",No,Green,Erect,Low,,,,Tolerant,Long,,Summer,,,,59,Medium,,,,,,,,,
168,Liatris,Gayfeather,"Pink, Purple",No,Green,Erect,Low,,,,Tolerant,Long,,Early Spring,,,,45,Medium,,,,,,,,,
169,Ocimum basilicum,Basil,None,No,"Green, Purple, Maroon, White",Rounded,,,,,Intermediate,Long,,,,2,1/2”,50,Low,,,,,,,,,
170,Nepeta cataria,Catnip,Purple,Yes,"green, Purple, Maroon, White",Erect,High,,,,Intermediate,Long,,Spring-Fall,1.5,3,1/4”,45,Low,,,,,,,,,
171,Allium schoenoprasum,Chives,Purple,Yes,"Green, Purple, Maroon, White",Erect,High,,,,Intolerant,Long,,Spring-Summer,,1.5,3/8″,45,Low,,,,,,,,,
172,Coriandrum sativum,Cilantro,White,Yes,"Green, Purple, Maroon, White",Erect,High,,,,Tolerant,Long,,Summer,,3,3/8”,50,Low,,,,,,,,,
173,Anethum graveolens,Dill,Yellow,Yes,Green,Erect,High,,,,Intolerant,Long,,Summer,3,4,3/8”,45,Low,,,,,,,,,
174,Lavendula angustifolia,Lavender,Purple,Yes,Green,Erect,High,,,,Intermediate,Long,,Spring-Summer,,3,1/2”,59,Low,,,,,,,,,
175,Mentha hybrids,Mint,,,Green,Erect,High,,,,Tolerant,Long,,Spring-Summer,,2,1/4”,50,Low,,,,,,,,,
176,Origanum vulgare,Oregano,"Purple, Pin, White",No,Green,Erect,High,,,,Intolerant,Long,,Spring-Summer,,2,3/8”,45,Low,,,,,,,,,
177,Petroselinum crispum,Parsley,"White,Pink",No,Green,Spreading,High,,,,Tolerant,Long,,Spring-Summer,,2,1/8”,59,Low,,,,,,,,,
178,Rosmarinus officinalis,Rosemary,Purple ,No,Green,Spreading,High,,,,Intermediate,Long,,Spring-Winter,,6,1/8″,50,Low,,,,,,,,,
179,Salvia officinalis,Sage,Purple,No,Green,Spreading,High,,,,Intermediate,Long,,Spring-Fall,,4,1/8”,50,Low,,,,,,,,,
180,Stevia rebaudiana,Stevia,White ,No,Green,Spreading,High,,,,Intermediate,Long,,Fall,,3,1/4”,59,Low,,,,,,,,,
181,Thymus vulgaris,Thyme,Pink,Yes,Green,Spreading,High,,,,Intermediate,Long,,,,2,N/A,45,Low,,,,,,,,,
182,Citrus x sinensis,Orange,White,Yes,Green,Erect,,,,,Intolerant,Long,Intolerant,Winter to Spring,,30,,30,High,,,,,,,,,
183,Citrus limon,Lemon,White,Yes,Green,Erect,,,,,Intolerant,Long,Intolerant,Winter to Spring,,9,,45,High,,,,,,,,,
184,Solanum lycopersicum,Tomato,Yellow,Yes,Green,Decumbent,,,,,Intolerant,Annual,Intolerant,June to Sept,,6,,50,High,,,,,,,,,
185,Fragaria x ananassa,Strawberry,White,Yes,Green,,,,,,Intermediate,Perennial,,May to July,,1,,28,High,,,,,,,,,
186,Rubus idaeus,Raspberry,White,Yes,Green,Erect,,,,,Intermediate,Perennial,,Spring,,7,,-20,High,,,,,,,,,
187,Vaccinium corymbosum,Blueberry,White,Yes,Green,Rounded,,,,,Intermediate,Perennial,,Spring,,6,,-10,High,,,,,,,,,
188,Ficus carica,Fig,White,Yes,Green,Erect,,,,High,Intermediate,Long,,Spring,,30,,5,High,,,,,,,,,
189,Actinidia deliciosa,Kiwi,White,Yes,Green,Climbing vine,,,,,Intermediate,Long,180,July to Aug,,30,,10,High,,,,,,,,,
190,Daucus carota sativus,Carrot,White,Yes,Green,Erect,,,,,Intermediate,Biennial,,June to Aug,,4,,38,Medium,,,,,,,,,
191,Lactuca sativa,Lettuce,Yellow,Yes,Green,Rounded,,,,,Intermediate,Short,,July to Aug,,3,,45,Medium,,,,,,,,,
192,Cucumis sativus,Cucumber,Yellow,Yes,Green,Creeping vine,,,,,Intolerant,Short,,July to Sept,,6,,60,High,,,,,,,,,
193,Spinacia oleracea,Spinach,Yellow-Green,No,Green,Erect,,,,,Intermediate,Short,,Jun to Sept,,1,,16,Medium,,,,,,,,,
194,Raphanus raphanistrum sativus,Radish,Purple,Yes,Green,Erect,,,,Low,Intermediate,Short,,Jun to Aug,,1.5,,26,High,,,,,,,,,
195,Brassica oleracea,Cabbage,Yellow or White,Yes,Green,Erect,,,,,Intermediate,Biennial,,May to Aug,,2.5,,39,Medium,,,,,,,,,
196,Brassica oleracea,Broccoli,Yellow,Yes,Green,Erect,,,,,Intermediate,Biennial,,May to Aug,,3,,2,Medium,,,,,,,,,
197,Capsicum annuum,Bell Pepper,White,Yes,Green,Erect,,,,,Intolerant,Perennial,,Jul to Sept,,3,,55,High,,,,,,,,,
198,Pisum sativum,Peas,White,Yes,Green,Creeping vine,,,,,Intolerant,Short,,May to Sept,,6.5,,19,Medium,,,,,,,,,
199,Ipomoea batatas,Sweet Potato,White and purple,Yes,Green,Vine,,,,,Intolerant,Perennial,,Summer,,10,,75,High,20,,,,,,,,
200,Prunus avium,Cherry,White,Yes,Green,Erect,,,,,Intermediate,Long,,Apr to Aug,,75,,0,High,,,,,,,,,
201,Ananas comosus,Pineapple,Lavender to red,Yes,Green,Erect,,,,High,Intermediate,Perennial,,Apr to May,,3,,50,Medium,,,,,,,,,
202,Citrus japonica,Kumquat,White,Yes,Green,Rounded,,,,,Intermediate,Perennial,,Winter to Spring,,8,,23,High,,,,,,,,,
